alphabet,dim,size,querytype,method,k,ns
generic,625,1000,mix,prefix,16,236.6
generic,625,1000,mix,prefix,32,282.4
generic,625,1000,mix,prefix,64,380.1
generic,625,1000,mix,prefix,625,1821.4
generic,625,1500,miss,scan,0,1568.3
generic,625,1500,miss,prefix,1,23.7
generic,625,1500,miss,prefix,2,25.0
generic,625,1500,miss,prefix,4,31.6
generic,625,1500,miss,prefix,8,66.5
generic,625,1500,miss,prefix,16,107.5
generic,625,1500,miss,prefix,32,175.2
generic,625,1500,miss,prefix,64,252.3
generic,625,1500,miss,prefix,625,1484.7
generic,625,1500,hit,scan,0,1006.0
generic,625,1500,hit,prefix,1,384.0
generic,625,1500,hit,prefix,2,386.6
generic,625,1500,hit,prefix,4,396.5
generic,625,1500,hit,prefix,8,403.5
generic,625,1500,hit,prefix,16,435.9
generic,625,1500,hit,prefix,32,498.9
generic,625,1500,hit,prefix,64,596.1
generic,625,1500,hit,prefix,625,2218.7
generic,625,1500,mix,scan,0,1334.6
generic,625,1500,mix,prefix,1,209.4
generic,625,1500,mix,prefix,2,213.7
generic,625,1500,mix,prefix,4,220.4
generic,625,1500,mix,prefix,8,228.2
generic,625,1500,mix,prefix,16,248.3
generic,625,1500,mix,prefix,32,296.6
generic,625,1500,mix,prefix,64,404.5
generic,625,1500,mix,prefix,625,1918.2
generic,625,2000,miss,scan,0,3310.1
generic,625,2000,miss,prefix,1,22.1
generic,625,2000,miss,prefix,2,25.3
generic,625,2000,miss,prefix,4,31.2
generic,625,2000,miss,prefix,8,64.9
generic,625,2000,miss,prefix,16,107.8
generic,625,2000,miss,prefix,32,175.0
generic,625,2000,miss,prefix,64,252.2
generic,625,2000,miss,prefix,625,1513.9
generic,625,2000,hit,scan,0,1473.5
generic,625,2000,hit,prefix,1,387.1
generic,625,2000,hit,prefix,2,393.3
generic,625,2000,hit,prefix,4,401.3
generic,625,2000,hit,prefix,8,406.9
generic,625,2000,hit,prefix,16,437.3
generic,625,2000,hit,prefix,32,501.6
generic,625,2000,hit,prefix,64,596.6
generic,625,2000,hit,prefix,625,2392.8
generic,625,2000,mix,scan,0,2319.5
generic,625,2000,mix,prefix,1,206.2
generic,625,2000,mix,prefix,2,213.6
generic,625,2000,mix,prefix,4,220.9
generic,625,2000,mix,prefix,8,230.6
generic,625,2000,mix,prefix,16,256.6
generic,625,2000,mix,prefix,32,297.8
generic,625,2000,mix,prefix,64,387.0
generic,625,2000,mix,prefix,625,1877.2
generic,3600,1,miss,scan,0,2.2
generic,3600,1,miss,prefix,1,20.0
generic,3600,1,miss,prefix,2,21.5
generic,3600,1,miss,prefix,4,26.7
generic,3600,1,miss,prefix,8,67.7
generic,3600,1,miss,prefix,16,98.8
generic,3600,1,miss,prefix,32,168.2
generic,3600,1,miss,prefix,64,154.0
generic,3600,1,miss,prefix,3600,12029.0
generic,3600,1,hit,scan,0,1730.0
generic,3600,1,hit,prefix,1,1781.6
generic,3600,1,hit,prefix,2,1740.8
generic,3600,1,hit,prefix,4,1762.2
generic,3600,1,hit,prefix,8,1750.3
generic,3600,1,hit,prefix,16,1812.8
generic,3600,1,hit,prefix,32,1827.4
generic,3600,1,hit,prefix,64,2018.0
generic,3600,1,hit,prefix,3600,13008.9
generic,3600,1,mix,scan,0,870.4
generic,3600,1,mix,prefix,1,896.3
generic,3600,1,mix,prefix,2,896.7
generic,3600,1,mix,prefix,4,908.4
generic,3600,1,mix,prefix,8,908.1
generic,3600,1,mix,prefix,16,933.2
generic,3600,1,mix,prefix,32,974.4
generic,3600,1,mix,prefix,64,1070.9
generic,3600,1,mix,prefix,3600,11149.7
generic,3600,2,miss,scan,0,3.1
generic,3600,2,miss,prefix,1,21.5
generic,3600,2,miss,prefix,2,22.2
generic,3600,2,miss,prefix,4,27.1
generic,3600,2,miss,prefix,8,68.1
generic,3600,2,miss,prefix,16,98.7
generic,3600,2,miss,prefix,32,170.6
generic,3600,2,miss,prefix,64,155.3
generic,3600,2,miss,prefix,3600,9023.4
generic,3600,2,hit,scan,0,1702.8
generic,3600,2,hit,prefix,1,1772.6
generic,3600,2,hit,prefix,2,1759.5
generic,3600,2,hit,prefix,4,1794.8
generic,3600,2,hit,prefix,8,1755.8
generic,3600,2,hit,prefix,16,1786.7
generic,3600,2,hit,prefix,32,1848.1
generic,3600,2,hit,prefix,64,1934.3
generic,3600,2,hit,prefix,3600,13044.0
generic,3600,2,mix,scan,0,1005.8
generic,3600,2,mix,prefix,1,1022.6
generic,3600,2,mix,prefix,2,1026.8
generic,3600,2,mix,prefix,4,1038.0
generic,3600,2,mix,prefix,8,1039.7
generic,3600,2,mix,prefix,16,1057.2
generic,3600,2,mix,prefix,32,1102.4
generic,3600,2,mix,prefix,64,1205.6
generic,3600,2,mix,prefix,3600,11331.8
generic,3600,5,miss,scan,0,5.3
generic,3600,5,miss,prefix,1,22.4
generic,3600,5,miss,prefix,2,25.4
generic,3600,5,miss,prefix,4,30.8
generic,3600,5,miss,prefix,8,61.2
generic,3600,5,miss,prefix,16,102.5
generic,3600,5,miss,prefix,32,171.8
generic,3600,5,miss,prefix,64,250.0
generic,3600,5,miss,prefix,3600,9110.9
generic,3600,5,hit,scan,0,1739.5
generic,3600,5,hit,prefix,1,1745.5
generic,3600,5,hit,prefix,2,1751.9
generic,3600,5,hit,prefix,4,1749.3
generic,3600,5,hit,prefix,8,1783.6
generic,3600,5,hit,prefix,16,1807.2
generic,3600,5,hit,prefix,32,1841.2
generic,3600,5,hit,prefix,64,1980.1
generic,3600,5,hit,prefix,3600,13409.2
generic,3600,5,mix,scan,0,914.1
generic,3600,5,mix,prefix,1,954.2
generic,3600,5,mix,prefix,2,956.8
generic,3600,5,mix,prefix,4,967.0
generic,3600,5,mix,prefix,8,974.1
generic,3600,5,mix,prefix,16,980.4
generic,3600,5,mix,prefix,32,1033.4
generic,3600,5,mix,prefix,64,1128.6
generic,3600,5,mix,prefix,3600,11280.7
generic,3600,10,miss,scan,0,8.4
generic,3600,10,miss,prefix,1,20.1
generic,3600,10,miss,prefix,2,22.6
generic,3600,10,miss,prefix,4,30.3
generic,3600,10,miss,prefix,8,64.3
generic,3600,10,miss,prefix,16,106.7
generic,3600,10,miss,prefix,32,174.9
generic,3600,10,miss,prefix,64,252.3
generic,3600,10,miss,prefix,3600,8963.6
generic,3600,10,hit,scan,0,1741.5
generic,3600,10,hit,prefix,1,1752.5
generic,3600,10,hit,prefix,2,1816.3
generic,3600,10,hit,prefix,4,1781.4
generic,3600,10,hit,prefix,8,1879.8
generic,3600,10,hit,prefix,16,1795.5
generic,3600,10,hit,prefix,32,1878.8
generic,3600,10,hit,prefix,64,1965.5
generic,3600,10,hit,prefix,3600,13265.8
generic,3600,10,mix,scan,0,820.0
generic,3600,10,mix,prefix,1,850.9
generic,3600,10,mix,prefix,2,835.5
generic,3600,10,mix,prefix,4,836.3
generic,3600,10,mix,prefix,8,866.2
generic,3600,10,mix,prefix,16,867.4
generic,3600,10,mix,prefix,32,924.8
generic,3600,10,mix,prefix,64,1029.3
generic,3600,10,mix,prefix,3600,11144.6
generic,3600,20,miss,scan,0,15.3
generic,3600,20,miss,prefix,1,23.0
generic,3600,20,miss,prefix,2,24.2
generic,3600,20,miss,prefix,4,29.6
generic,3600,20,miss,prefix,8,65.1
generic,3600,20,miss,prefix,16,101.8
generic,3600,20,miss,prefix,32,174.0
generic,3600,20,miss,prefix,64,257.1
generic,3600,20,miss,prefix,3600,9094.0
generic,3600,20,hit,scan,0,1775.0
generic,3600,20,hit,prefix,1,1804.5
generic,3600,20,hit,prefix,2,1930.7
generic,3600,20,hit,prefix,4,1813.0
generic,3600,20,hit,prefix,8,1787.5
generic,3600,20,hit,prefix,16,1961.2
generic,3600,20,hit,prefix,32,2024.2
generic,3600,20,hit,prefix,64,2072.6
generic,3600,20,hit,prefix,3600,13159.3
generic,3600,20,mix,scan,0,915.8
generic,3600,20,mix,prefix,1,930.2
generic,3600,20,mix,prefix,2,933.4
generic,3600,20,mix,prefix,4,941.8
generic,3600,20,mix,prefix,8,944.1
generic,3600,20,mix,prefix,16,975.3
generic,3600,20,mix,prefix,32,1018.6
generic,3600,20,mix,prefix,64,1106.3
generic,3600,20,mix,prefix,3600,11407.3
generic,3600,50,miss,scan,0,44.6
generic,3600,50,miss,prefix,1,21.3
generic,3600,50,miss,prefix,2,24.0
generic,3600,50,miss,prefix,4,28.9
generic,3600,50,miss,prefix,8,61.7
generic,3600,50,miss,prefix,16,99.0
generic,3600,50,miss,prefix,32,170.3
generic,3600,50,miss,prefix,64,249.0
generic,3600,50,miss,prefix,3600,8935.0
generic,3600,50,hit,scan,0,1787.6
generic,3600,50,hit,prefix,1,1827.6
generic,3600,50,hit,prefix,2,1814.8
generic,3600,50,hit,prefix,4,1992.4
generic,3600,50,hit,prefix,8,2015.8
generic,3600,50,hit,prefix,16,2088.1
generic,3600,50,hit,prefix,32,1958.4
generic,3600,50,hit,prefix,64,2070.1
generic,3600,50,hit,prefix,3600,13635.9
generic,3600,50,mix,scan,0,947.7
generic,3600,50,mix,prefix,1,955.8
generic,3600,50,mix,prefix,2,980.7
generic,3600,50,mix,prefix,4,971.4
generic,3600,50,mix,prefix,8,1016.4
generic,3600,50,mix,prefix,16,1057.5
generic,3600,50,mix,prefix,32,1108.1
generic,3600,50,mix,prefix,64,1208.5
generic,3600,50,mix,prefix,3600,11956.6
generic,3600,100,miss,scan,0,79.4
generic,3600,100,miss,prefix,1,21.4
generic,3600,100,miss,prefix,2,25.0
generic,3600,100,miss,prefix,4,32.4
generic,3600,100,miss,prefix,8,64.3
generic,3600,100,miss,prefix,16,105.4
generic,3600,100,miss,prefix,32,173.9
generic,3600,100,miss,prefix,64,254.5
